epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4529.42,0.70507,0.39649,0.89312,0.97587,0.94127,0.96442,0.78217,0.56164,0.28025,0.83918,0.00776766,0.00776766,0.00776766
65,4599.49,0.69218,0.38973,0.88648,0.97125,0.94078,0.96587,0.7828,0.55743,0.28001,0.83833,0.00770234,0.00770234,0.00770234
66,4669.55,0.69766,0.3945,0.88803,0.98654,0.93234,0.96323,0.78522,0.55947,0.28056,0.83788,0.00763637,0.00763637,0.00763637
67,4739.58,0.69409,0.3916,0.88819,0.97945,0.93472,0.96319,0.78409,0.55849,0.27875,0.8376,0.00756976,0.00756976,0.00756976
68,4809.15,0.69034,0.39156,0.88702,0.96485,0.94657,0.96464,0.78624,0.55701,0.27721,0.83646,0.00750252,0.00750252,0.00750252
69,4879.12,0.69296,0.39127,0.88881,0.96055,0.94783,0.96547,0.78235,0.55496,0.27547,0.83602,0.00743468,0.00743468,0.00743468
70,4948.79,0.69368,0.39102,0.89075,0.97492,0.93975,0.96586,0.78814,0.55447,0.27562,0.83568,0.00736625,0.00736625,0.00736625
71,5018.23,0.69334,0.38828,0.88694,0.97309,0.94869,0.96595,0.78804,0.55259,0.27404,0.83483,0.00729725,0.00729725,0.00729725
72,5088.33,0.68526,0.38563,0.8834,0.97605,0.94216,0.96502,0.79024,0.55022,0.27175,0.83332,0.0072277,0.0072277,0.0072277
73,5158.27,0.69165,0.38555,0.88987,0.97568,0.93897,0.96649,0.79308,0.55063,0.2719,0.83355,0.00715761,0.00715761,0.00715761
74,5228.38,0.69057,0.38545,0.88912,0.97993,0.93419,0.96722,0.78966,0.5501,0.27164,0.83413,0.007087,0.007087,0.007087
75,5298.27,0.68024,0.38379,0.88377,0.97754,0.94258,0.96703,0.78961,0.5478,0.27122,0.83399,0.00701588,0.00701588,0.00701588
76,5368.83,0.68553,0.38273,0.88544,0.98802,0.93138,0.96937,0.78672,0.54579,0.26949,0.83346,0.00694428,0.00694428,0.00694428
77,5438.55,0.68301,0.38177,0.88454,0.97549,0.94405,0.96818,0.78989,0.54493,0.26889,0.83319,0.00687222,0.00687222,0.00687222
78,5508.48,0.67797,0.37876,0.88113,0.97862,0.94641,0.97172,0.78922,0.54451,0.26823,0.83313,0.0067997,0.0067997,0.0067997
79,5578.91,0.68044,0.3768,0.88263,0.98054,0.94594,0.97174,0.79554,0.54261,0.2679,0.83262,0.00672675,0.00672675,0.00672675
80,5648.88,0.67539,0.37535,0.88037,0.9751,0.94327,0.97182,0.79586,0.54192,0.26647,0.83164,0.00665339,0.00665339,0.00665339
81,5719.44,0.68374,0.37796,0.88306,0.98247,0.94024,0.96852,0.79013,0.54286,0.26655,0.8318,0.00657963,0.00657963,0.00657963
82,5789.53,0.67704,0.37603,0.8836,0.98394,0.94151,0.96836,0.79147,0.5422,0.2651,0.83184,0.0065055,0.0065055,0.0065055
83,5860.01,0.67076,0.37121,0.87721,0.98539,0.93773,0.96876,0.79119,0.54093,0.26331,0.83186,0.00643101,0.00643101,0.00643101
84,5930.32,0.67658,0.37212,0.88275,0.98583,0.9371,0.96864,0.79336,0.53902,0.26392,0.83129,0.00635617,0.00635617,0.00635617
85,6000.82,0.67428,0.37411,0.88034,0.98691,0.93997,0.97013,0.79447,0.53843,0.26294,0.83102,0.00628101,0.00628101,0.00628101
86,6071.55,0.66633,0.36604,0.87952,0.9834,0.93895,0.97133,0.79638,0.53795,0.26229,0.83122,0.00620555,0.00620555,0.00620555
87,6142.56,0.66225,0.36911,0.87909,0.98498,0.93761,0.97129,0.79981,0.53735,0.26229,0.83155,0.00612981,0.00612981,0.00612981
88,6212.87,0.66596,0.3688,0.88121,0.98508,0.93821,0.97271,0.8001,0.53691,0.26225,0.83171,0.0060538,0.0060538,0.0060538
89,6283.63,0.66254,0.36683,0.87882,0.98401,0.93871,0.97339,0.80127,0.53567,0.26132,0.83111,0.00597754,0.00597754,0.00597754
90,6354.47,0.65884,0.36303,0.87697,0.98285,0.94205,0.97178,0.79904,0.53478,0.26099,0.83051,0.00590105,0.00590105,0.00590105
91,6425.12,0.66108,0.36467,0.87569,0.98252,0.94313,0.97288,0.79984,0.53362,0.26016,0.83008,0.00582435,0.00582435,0.00582435
92,6495.7,0.66154,0.36434,0.87787,0.98252,0.94136,0.97215,0.79941,0.53218,0.2588,0.82969,0.00574746,0.00574746,0.00574746
93,6566.21,0.65475,0.36097,0.87711,0.9819,0.94338,0.97327,0.80079,0.53115,0.25784,0.82944,0.0056704,0.0056704,0.0056704
94,6636.95,0.65626,0.36373,0.87902,0.97999,0.94317,0.97346,0.80009,0.53088,0.25717,0.82986,0.00559318,0.00559318,0.00559318
95,6707.52,0.66202,0.36303,0.87646,0.97927,0.94196,0.97355,0.80006,0.53015,0.25757,0.82938,0.00551584,0.00551584,0.00551584
96,6777.49,0.65205,0.35933,0.87769,0.97814,0.94313,0.97332,0.79941,0.52995,0.25718,0.82918,0.00543837,0.00543837,0.00543837
97,6847.74,0.65167,0.35747,0.87363,0.98013,0.94345,0.97404,0.79933,0.53009,0.25743,0.8288,0.00536081,0.00536081,0.00536081
98,6918.55,0.65769,0.35932,0.87799,0.99018,0.93361,0.97377,0.79896,0.53,0.25704,0.82853,0.00528318,0.00528318,0.00528318
99,6988.74,0.64989,0.35547,0.87682,0.9796,0.94196,0.97419,0.79979,0.52896,0.25623,0.82815,0.00520548,0.00520548,0.00520548
100,7059.26,0.64691,0.3539,0.87366,0.9801,0.94588,0.97446,0.80303,0.52867,0.25667,0.82798,0.00512775,0.00512775,0.00512775
101,7130.06,0.65085,0.3555,0.87781,0.98135,0.94593,0.97426,0.8018,0.52791,0.25637,0.82807,0.00505,0.00505,0.00505
102,7201.01,0.64899,0.35219,0.87594,0.98294,0.94578,0.97427,0.80125,0.52782,0.25512,0.82825,0.00497225,0.00497225,0.00497225
103,7271.88,0.64285,0.34928,0.8754,0.98396,0.94519,0.97471,0.80326,0.5278,0.25435,0.82813,0.00489452,0.00489452,0.00489452
104,7342.25,0.64862,0.35179,0.87719,0.98373,0.94494,0.97447,0.80305,0.52744,0.2535,0.82809,0.00481682,0.00481682,0.00481682
105,7412.75,0.6447,0.35068,0.8757,0.98411,0.94561,0.9742,0.80268,0.52632,0.2526,0.82802,0.00473919,0.00473919,0.00473919
106,7483.07,0.64288,0.3499,0.876,0.98454,0.94631,0.97426,0.80545,0.5256,0.25306,0.8279,0.00466163,0.00466163,0.00466163
107,7552.89,0.64291,0.34727,0.87486,0.98417,0.94695,0.9744,0.80489,0.52514,0.25297,0.82784,0.00458416,0.00458416,0.00458416
