epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,24511.5,1.25146,0.48357,1.15957,0.98529,0.98081,0.99069,0.62616,1.40906,0.44573,1.30016,0.002278,0.002278,0.002278
80,24806.8,1.25119,0.47857,1.15648,0.98533,0.98023,0.99071,0.62633,1.40882,0.44524,1.30018,0.002179,0.002179,0.002179
81,25102,1.24521,0.47689,1.15699,0.98498,0.97983,0.99034,0.6245,1.40942,0.44596,1.30037,0.00208,0.00208,0.00208
82,25396.5,1.24433,0.47668,1.15278,0.98526,0.9803,0.99072,0.62421,1.4098,0.44605,1.30041,0.001981,0.001981,0.001981
83,25691.5,1.2416,0.47645,1.15779,0.98336,0.98429,0.99072,0.62458,1.41016,0.4459,1.30067,0.001882,0.001882,0.001882
84,25986.7,1.23768,0.47212,1.15212,0.98344,0.9848,0.99057,0.62378,1.4108,0.44577,1.30113,0.001783,0.001783,0.001783
85,26282.6,1.23847,0.47089,1.15575,0.98542,0.98053,0.99054,0.62388,1.41112,0.44554,1.30158,0.001684,0.001684,0.001684
86,26578.3,1.23558,0.4709,1.14883,0.98121,0.98485,0.99056,0.62233,1.41136,0.44558,1.30171,0.001585,0.001585,0.001585
87,26873.4,1.23285,0.46498,1.14876,0.98114,0.98486,0.99058,0.62373,1.41166,0.44498,1.30182,0.001486,0.001486,0.001486
88,27169,1.2215,0.46157,1.13889,0.98512,0.98069,0.99058,0.62365,1.41193,0.44472,1.30211,0.001387,0.001387,0.001387
89,27465.6,1.21903,0.46253,1.14161,0.98104,0.98488,0.99052,0.62355,1.4121,0.44481,1.30214,0.001288,0.001288,0.001288
90,27761.7,1.21763,0.45973,1.13986,0.98149,0.98488,0.99053,0.62429,1.41254,0.4446,1.30257,0.001189,0.001189,0.001189
91,28057.6,1.24534,0.43138,1.19924,0.98143,0.98522,0.9908,0.6236,1.41288,0.44436,1.30256,0.00109,0.00109,0.00109
92,28352.2,1.23408,0.42594,1.19314,0.97918,0.98505,0.99055,0.62338,1.41338,0.44396,1.30303,0.000991,0.000991,0.000991
93,28646.7,1.23067,0.42305,1.1924,0.97899,0.98552,0.99053,0.62367,1.41395,0.44434,1.30316,0.000892,0.000892,0.000892
94,28941.7,1.22605,0.41925,1.18503,0.98137,0.98492,0.99054,0.62298,1.41425,0.44391,1.3032,0.000793,0.000793,0.000793
95,29236.1,1.21922,0.41776,1.18371,0.98138,0.9844,0.99057,0.62276,1.41454,0.44365,1.30323,0.000694,0.000694,0.000694
96,29531.5,1.21651,0.41539,1.18025,0.98535,0.98065,0.99057,0.62283,1.41447,0.44393,1.30323,0.000595,0.000595,0.000595
97,29826.3,1.21317,0.41541,1.17893,0.98542,0.98074,0.99052,0.62327,1.41484,0.4438,1.30326,0.000496,0.000496,0.000496
98,30121.9,1.20856,0.41223,1.18052,0.98544,0.98062,0.99053,0.62354,1.41521,0.4439,1.30347,0.000397,0.000397,0.000397
99,30416.9,1.20391,0.40921,1.17504,0.98131,0.98442,0.99051,0.62349,1.41551,0.44341,1.30371,0.000298,0.000298,0.000298
100,30712.7,1.19495,0.40763,1.17239,0.98555,0.98097,0.99079,0.62318,1.41598,0.4439,1.30395,0.000199,0.000199,0.000199
